date,compound
2021-10-25,2.4696000000000002
2021-10-26,-2.4301000000000004
2021-10-28,0.42059999999999986
2021-10-29,-0.8078
2021-10-31,-0.886
2021-11-01,1.5401
2021-11-02,0.23570000000000002
2021-11-05,-0.0772
2021-11-06,0.4404
2021-11-07,0.4404
