date,a,b,c,d,e,f
29-04-2021,38.990002,39,38.310001,38.599998,37.267315,23569400
30-04-2021,38.5,38.900002,38.490002,38.650002,37.315594,28413200
03-05-2021,39.040001,39.84,38.959999,39.830002,38.454849,46638600
04-05-2021,40,40.169998,39.43,39.950001,38.570709,52802200
05-05-2021,40.18,41.09,38.93,39.970001,38.590019,76627500
06-05-2021,38.48,39.23,37.959999,39.189999,38.20977,54944900
07-05-2021,39.049999,39.869999,39.049999,39.580002,38.590019,33807800
10-05-2021,39.830002,40.279999,39.779999,39.860001,38.863014,30831900
11-05-2021,39.68,40.07,39.23,39.349998,38.365768,30568600
12-05-2021,39.439999,39.919998,39.310001,39.689999,38.697266,26208600
13-05-2021,39.5,40.279999,39.5,40.099998,39.097012,25415000
14-05-2021,40.240002,40.32,39.919998,40.02,39.019012,18041100
17-05-2021,40.07,40.400002,40.009998,40.110001,39.106762,18095000
18-05-2021,40.18,40.349998,39.830002,40.049999,39.048264,15805500
19-05-2021,39.900002,39.900002,39.43,39.830002,38.833763,20209500
20-05-2021,39.73,40.25,39.720001,40.119999,39.116512,18621100
21-05-2021,40.209999,40.599998,39.91,39.950001,38.950764,21144800
24-05-2021,40.080002,40.139999,39.779999,39.810001,38.814266,16922300
25-05-2021,39.82,39.860001,39.240002,39.330002,38.346272,25916300
26-05-2021,39.290001,39.299999,38.779999,38.919998,37.946522,28036500
27-05-2021,38.970001,39.18,38.599998,38.650002,37.683281,38471200
28-05-2021,38.75,39.02,38.68,38.73,37.761276,16154100
01-06-2021,38.939999,39,38.48,38.5,37.537029,23642400
02-06-2021,38.639999,38.93,38.540001,38.790001,37.819778,19629000
03-06-2021,38.759998,39.040001,38.630001,38.970001,37.995277,17376300
04-06-2021,39.049999,39.5,39.02,39.150002,38.170773,19375300
07-06-2021,39.080002,39.599998,38.970001,38.990002,38.014778,24110700
08-06-2021,39.07,39.110001,38.48,38.849998,37.878277,18880300
09-06-2021,39,39.84,38.98,39.810001,38.814266,29824000
10-06-2021,39.900002,40.720001,39.889999,40.68,39.662506,42613700
11-06-2021,40.66,40.669998,39.950001,40.150002,39.14576,21386900
14-06-2021,40.029999,40.07,39.380001,39.630001,38.638767,23408300
15-06-2021,39.709999,39.84,39.389999,39.59,38.59977,20206900
16-06-2021,39.619999,39.84,39.279999,39.299999,38.31702,19177500
17-06-2021,39.27,39.59,39.07,39.48,38.492519,19580100
18-06-2021,39.299999,39.439999,38.700001,38.810001,37.839279,37775900
21-06-2021,38.880001,39.48,38.880001,39.419998,38.434017,19488100
22-06-2021,39.41,39.689999,39.259998,39.610001,38.619267,15975900
23-06-2021,39.630001,39.66,38.98,39.049999,38.073273,22025400
24-06-2021,39.139999,39.349998,39.080002,39.189999,38.20977,13436500
25-06-2021,39.119999,39.41,38.889999,38.98,38.005024,22774300
28-06-2021,39.009998,39.209999,38.900002,39.119999,38.141521,19225700
29-06-2021,39.130001,39.279999,38.98,39.099998,38.122021,14516600
30-06-2021,39.139999,39.27,38.82,39.16,38.180523,21248100
01-07-2021,39.169998,39.630001,39.110001,39.560001,38.570518,20035900
02-07-2021,39.459999,39.830002,39.380001,39.73,38.736267,16592700
06-07-2021,39.48,39.650002,39.040001,39.290001,38.30727,18931900
07-07-2021,39.220001,39.360001,38.970001,39.349998,38.365768,17665200
08-07-2021,39,39.32,38.93,39.25,38.268272,23021200
09-07-2021,39.529999,40.099998,39.459999,39.610001,38.619267,21578700
12-07-2021,39.66,40.25,39.599998,39.759998,38.765514,24513000
13-07-2021,39.77,39.799999,39.529999,39.650002,38.658268,12222000
14-07-2021,39.720001,40.029999,39.66,39.950001,38.950764,15888600
15-07-2021,39.950001,40.189999,39.860001,40.09,39.087261,20250800
16-07-2021,40.139999,40.349998,39.93,40.349998,39.340759,24270400
19-07-2021,40.07,40.349998,39.68,40.150002,39.14576,29818400
20-07-2021,40.25,41.709999,40.200001,41.049999,40.023247,48804100
21-07-2021,41.240002,41.240002,40.52,41.02,39.994003,27530200
22-07-2021,41.119999,41.549999,40.900002,41.470001,40.432747,18913300
23-07-2021,41.459999,41.830002,41.419998,41.68,40.637493,21609200
26-07-2021,41.619999,41.939999,41.389999,41.810001,40.764244,23720000
27-07-2021,41.82,42.200001,41.580002,42.099998,41.046989,32544100
28-07-2021,42.349998,43.740002,42.25,43.450001,42.363224,53822400
29-07-2021,43.23,43.299999,42.619999,42.790001,42.097591,29015000
30-07-2021,42.880001,43.189999,42.689999,42.810001,42.117268,24763300
02-08-2021,43.299999,44.139999,43.25,43.959999,43.248661,43066900
03-08-2021,44.169998,45.860001,44.07,45.68,44.940826,45643300
04-08-2021,45.349998,45.799999,45.009998,45.189999,44.458755,43391200
05-08-2021,45,45.139999,44.700001,45.060001,44.33086,23505400
06-08-2021,45.09,45.310001,44.630001,45.07,44.340698,20413000
09-08-2021,45.110001,46.029999,45.110001,45.98,45.235973,32374300
10-08-2021,46.200001,48.57,45.889999,48.189999,47.41021,81189400
11-08-2021,47.779999,48.080002,46.259998,46.310001,45.560635,50878200
12-08-2021,46.5,47.400002,46.34,47.240002,46.475586,29676400
13-08-2021,47.41,48.5,47.32,48.48,47.695518,35379200
16-08-2021,48.23,48.970001,47.509998,48.91,48.118561,38045800
